RPM   rv34   rv54   rv94   rv104  pot_eff34  pot_eff54  pot_eff94  pot_eff104  torq_eff34  torq_eff54  torq_eff94  torq_eff104  xr3-4  xr5-4  xr9-4  xr10-4
1000  0.669  0.689  0.687  0.687  20.577     20.703     20.88      21.234      144.481     145.366     146.609     149.095      0.075  0.078  0.075  0.071
2000  0.711  0.706  0.687  0.687  46.422     48.072     47.06      45.791      162.975     168.771     165.216     160.76       0.071  0.073  0.077  0.079
3000  0.745  0.697  0.743  0.743  66.849     68.994     67.753     68.246      156.46      161.481     158.577     159.731      0.084  0.066  0.07   0.067
4000  0.765  0.734  0.756  0.756  96.04      94.299     95.227     102.282     168.587     165.531     167.16      179.544      0.067  0.072  0.064  0.069
5000  0.72   0.751  0.671  0.671  135.1      117.331    118.318    110.347     189.721     164.769     166.155     154.961      0.07   0.076  0.074  0.077
6000  0.65   0.714  0.731  0.731  123.238    119.599    129.11     126.31      144.221     139.962     151.091     147.815      0.105  0.103  0.092  0.098
7000  0.613  0.649  0.511  0.511  130.579    125.412    128.393    106.704     130.981     125.798     128.788     107.033      0.134  0.137  0.134  0.179
8000  0.504  0.49   0.558  0.558  130.053    95.732     92.146     109.577     114.147     84.023      80.875      96.175       0.173  0.183  0.175  0.147
9000  0.359  0.522  0.553  0.553  104.044    78.675     106.602    103.895     81.172      61.38       83.168      81.056       0.197  0.273  0.224  0.231
